CTH2408-01454!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:33:58!VF_SI_ICI_SERDES_FAIL!OSFP14!NDF!Swap OSFP14 to OSFP6 (APF23411073HCH)!510008:SYSTEM TEST
CTH2346-01016!VIPERFISH|PLATFORMS-SERVER!2024-02-20 06:27:43!vfc_ext_north_range!value='11.0' lower_limit='0' upper_limit='10'!NDF!!510008:SYSTEM TEST
CTH2405-05239!VIPERFISH|PLATFORMS-SERVER!2024-02-27 18:19:22!connection_failure_exception!ERROR while executing run_step() in VxStandaloneVoodoo;(ParamikoConnectionConnectException) SSH via Paramiko library connection failed;(NoValidConnectionsError) [Errno None] Unable to connect to!NDF!Change slot!510008:SYSTEM TEST
CTH2406-03315!VIPERFISH|PLATFORMS-SERVER!2024-02-27 18:20:41!STETHOSCOPE_STOP_ERROR!Failing Child Step='didt_sweep - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2344-00167!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:33:41!VF_SI_ICI_SERDES_FAIL!OSFP2!NDF!Change OSFP2 and retest!510008:SYSTEM TEST
CTH2408-00293!VIPERFISH|PLATFORMS-SERVER!2024-02-23 05:13:29!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!NDF!510008:SYSTEM TEST
CTH2409-00169!VIPERFISH|PLATFORMS-SERVER!2024-02-27 13:45:05!pcie_vfc2_speed!value='8.0GT/s' lower_limit='16.0GT/s' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2351-00002!VIPERFISH|PLATFORMS-SERVER!2024-02-26 07:27:27!flow_rate_0.6_gpm!value='0.26' lower_limit='0.54' upper_limit='0.66'!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05064!VIPERFISH|PLATFORMS-SERVER!2024-02-27 14:14:23!EXCESSIVE_HELLO_VFC_SMARTDIAG!Failing Child Step='hello_vfc - Diag';Attribute 'hello_vfc_smartdiag' has 2 violated entries. Violated entries: HelloTestSuite/HelloTc:CoreDumpCollectCsrsTest/Core0,HelloTestSuite/HelloTc:CoreDum!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05056!VIPERFISH|PLATFORMS-SERVER!2024-02-27 13:43:57!VF_SI_ICI_SERDES_FAIL!OSFP13!NDF!Swap OSFP13 to OSFP0 retest!510008:SYSTEM TEST
CTH2408-05021!VIPERFISH|PLATFORMS-SERVER!2024-02-27 15:10:25!VF_SI_ICI_SERDES_FAIL!OSFP5!NDF!Swap OSFP5 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-12868!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 02:26:36!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC3 Port 1 Lane 0. Actual: 7.35e-06, Threshold: 6.005e-07!NDF!Swap OSFP6 to OSFP1!510008:SYSTEM TEST
CTH2408-12386!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 01:56:05!GBMC_INTERFACE_CONFIGURE_ERROR!Failed to configure the network interface between host and gBMC;(TimeoutError) Timeout while trying to set interface bmc_usb0;(HostCommandError) Send command failure: ip link set usb0 name bmc_us!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00392!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:04:52!VOODOO_PARSING_ERROR!Failed to parse 1 lines from Voodoo output at line number(s): [1].!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00333!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:09:38!L0SEQ_BMC_SYS_PGOOD_GPIO_VALUE!value='0' lower_limit='1' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00153!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:07:15!L0SEQ_BMC_SYS_PGOOD_GPIO_VALUE!value='0' lower_limit='1' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00535!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:49:40!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05184!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:52:32!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70565!VIPERLITE POD|PLATFORMS-SERVER!2024-02-27 22:35:48!TASK_EXCEPTION__INACTIVERPCERROR!Failing Child Step='thermal_impedance_with_retry - Diag';<_InactiveRpcError of RPC that terminated with:;	status = StatusCode.UNIMPLEMENTED;	details = "fan: /phys/PE3/CDFP/DOWNLINK/FAN0:device:fa!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70564!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 01:33:27!TASK_EXCEPTION__INACTIVERPCERROR!Failing Child Step='thermal_impedance_with_retry - Diag';<_InactiveRpcError of RPC that terminated with:;	status = StatusCode.UNIMPLEMENTED;	details = "fan: /phys/PE3/CDFP/DOWNLINK/FAN0:device:fa!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00524!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:58:28!vfc0_telemetry!value='--' lower_limit='OK' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05189!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:52:41!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='electrical_design_power - edp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-edp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00522!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:19:48!TPU_HBM_LANE_REPAIR_FAILED_HARD!Failing Child Step='hbm_lane_repair - HBM Lane Repair Operation';Encountered an error during lane repair action hard tray=0, chip=2, HBM=4: AAPL Runner failed: Error encountered when running lane!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00175!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:24:16!EXCESSIVE_VX_POWER_CORE_FAIL_COUNT!Failing Child Step='didt_sweep - Diag';Attribute 'vx-power-core-fail-count' has 1 violated entries during didt. Violated entries: 61_on_5_off!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00298!VIPERFISH|PLATFORMS-SERVER!2024-02-27 17:48:35!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
CTH2408-00901!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:36:56!TPU_FAIL_PCIE_THROUGHPUT!Failing Child Step='pci_throughput_aer_with_retry - Check Chip PCIe Total Throughput';/phys/PE0/IO0/CDFP/DOWNLINK/VFC2:device:asic: Checking total throughput: actual 39032739091, min 40000000000!NDF!Change slot!510008:SYSTEM TEST
