CTH2346-01016!VIPERFISH|PLATFORMS-SERVER!2024-02-20 06:27:43!vfc_ext_north_range!value='11.0' lower_limit='0' upper_limit='10'!NDF!!510008:SYSTEM TEST
CTH2341-70406!GHOSTLITE POD|PLATFORMS-SERVER!2024-02-27 09:22:44!adp1050_firmware_update_error!(MSVPackageInstallError) Error while installing package using script /var/lib/msv-packages/firmware-adp1050/ghostlite/post-install.sh;(HostCommandError) Send command failure: /var/lib/msv-package!NDF!Re-test in another station!510008:SYSTEM TEST
CTH2344-00167!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:33:41!VF_SI_ICI_SERDES_FAIL!OSFP2!NDF!Change OSFP2 and retest!510008:SYSTEM TEST
CTH2340-02273!SCP|PLATFORMS-SERVER!2024-02-27 06:23:40!VIPER_FIRMWARE_MISSING!Failed to find haven-vfc3 devpath /phys/PE0/IO0/CDFP/DOWNLINK:device:haven_vxc3 in firmware list.!NDF!Retest as is!510008:SYSTEM TEST
CTH2408-00293!VIPERFISH|PLATFORMS-SERVER!2024-02-23 05:13:29!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!NDF!510008:SYSTEM TEST
CTH2351-00002!VIPERFISH|PLATFORMS-SERVER!2024-02-26 07:27:27!flow_rate_0.6_gpm!value='0.26' lower_limit='0.54' upper_limit='0.66'!NDF!Change slot!510008:SYSTEM TEST
CTH2408-03705!VIPERFISH|PLATFORMS-SERVER!2024-02-26 01:59:48!STEP_TIMEOUT_ERROR!Timeout occurred while executing ssh -o ServerAliveInterval=600 -tt root@10.0.0.4 'ulimit -Hn 1048576; ulimit -Sn 1048576; gcontain enter /; /fish/voodoo/jobhandlers/viperfishist_jobhandler_stand!NDF!Change slot!510008:SYSTEM TEST
CTH2408-06239!VIPERFISH|PLATFORMS-SERVER!2024-02-27 02:36:44!UNEXPECTED_EXCEPTION!list index out of range!NDF!Change slot!510008:SYSTEM TEST
CTH2408-04210!VIPERFISH|PLATFORMS-SERVER!2024-02-27 01:05:11!GBMC_COMM_ERROR!Failed to open communication with the gBMC!NDF!Change slot!510008:SYSTEM TEST
CTH2408-06314!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:40:49!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC2:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05880!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:46:38!L0SEQ_BMC_SYS_PGOOD_GPIO_VALUE!value='0' lower_limit='1' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-04286!VIPERFISH|PLATFORMS-SERVER!2024-02-27 08:08:17!PCIE_VFC1_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-06098!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:44:39!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!NDF!Change slot!510008:SYSTEM TEST
CTH2408-06383!VIPERFISH|PLATFORMS-SERVER!2024-02-27 01:25:38!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC0:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2408-06238!VIPERFISH|PLATFORMS-SERVER!2024-02-27 02:38:17!gbmc_send_command_error!(BaseTrayError) Error while executing the stress-ng command;(StressNgError) Error while executing the stress-ng command;(HostCommandError) Send command failure: stress-ng -v --cpu 1 --vm 1 --vm-b!NDF!Change slot!510008:SYSTEM TEST
CTH2408-04289!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:45:05!max_t_failed!MaxT failed test.!NDF!Change slot!510008:SYSTEM TEST
CTH2408-04283!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:30:10!VF_SI_ICI_SERDES_FAIL!OSFP12!NDF!Swap OSFP12 to OSFP0 and retest!510008:SYSTEM TEST
CTH2408-04284!VIPERFISH|PLATFORMS-SERVER!2024-02-27 00:17:50!VF_SI_ICI_SERDES_FAIL!OSFP4!NDF!Swap OSFP4 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-05937!VIPERFISH|PLATFORMS-SERVER!2024-02-26 17:47:25!VF_SI_ICI_SERDES_FAIL!OSFP4!NDF!Swap OSFP4 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-00451!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:39:13!VF_SI_ICI_SERDES_FAIL!OSFP5!NDF!Swap OSFP5 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-06141!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:28:31!VF_SI_ICI_SERDES_FAIL!OSFP13!NDF!Swap OSFP13 to OSFP0 and retest!510008:SYSTEM TEST
CTH2408-06223!VIPERFISH|PLATFORMS-SERVER!2024-02-26 22:32:56!VF_SI_ICI_SERDES_FAIL!OSFP3!NDF!Swap OSFP3 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-05510!VIPERFISH|PLATFORMS-SERVER!2024-02-26 23:36:42!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Swap OSFP14 to OSFP0 and retest!510008:SYSTEM TEST
